mean,AWATER10,ALAND10,FUNCSTAT10,INTPTLON10,CLASSFP10,ZCTA5CE10,MTFCC10,INTPTLAT10,system:index,GEOID10
0.34519377674567603,0,10132375,S,-087.6690640,B5,60636,G6350,+41.7757392,000400000000000004d3,60636
0.34048857420301015,0,10426672,S,-087.7571858,B5,60077,G6350,+42.0347514,000400000000000004e2,60077
0.3464777148655976,0,12276020,S,-087.9006979,B5,60164,G6350,+41.9175122,000400000000000004e4,60164
0.3433344949358571,0,5944001,S,-087.7788303,B5,60415,G6350,+41.7029482,000400000000000004e6,60415
0.5722529280373294,0,10918079,S,-087.6841390,B5,60422,G6350,+41.5369636,000400000000000004e7,60422
0.4006308081398489,0,2457397,S,-087.6870366,B5,60469,G6350,+41.6283587,000400000000000005ee,60469
0.5399132121863112,0,7111387,S,-087.8739949,B5,60526,G6350,+41.8317936,000400000000000005f2,60526
0.2432616758276693,0,999363,S,-087.6221295,B5,60601,G6350,+41.8853104,000400000000000005f4,60601
0.1583412307399465,0,225435,S,-087.6291494,B5,60602,G6350,+41.8830726,000400000000000005f5,60602
0.1965433751596094,0,375285,S,-087.6255095,B5,60603,G6350,+41.8801879,000400000000000005f6,60603
0.15002176696542893,0,239756,S,-087.6284611,B5,60604,G6350,+41.8780953,000400000000000005f7,60604
0.07429029928514251,0,661666,S,-087.6373488,B5,60606,G6350,+41.8820664,000400000000000005f8,60606
0.132765205835202,0,6009736,S,-087.6515958,B5,60607,G6350,+41.8749318,000400000000000005f9,60607
0.21143641219273604,0,9705205,S,-087.6877490,B5,60612,G6350,+41.8803197,000400000000000005fa,60612
0.21627862869059797,0,13107751,S,-087.7025478,B5,60618,G6350,+41.9469615,000400000000000005fb,60618
0.3070975697507479,0,15593782,S,-087.6055258,B5,60619,G6350,+41.7436900,000400000000000005fc,60619
0.34579766893846153,0,9656913,S,-087.6395709,B5,60621,G6350,+41.7763822,000400000000000005fd,60621
0.3842079737624443,0,9635928,S,-087.8130034,B5,60631,G6350,+41.9948546,0004000000000000062a,60631
0.21801007019339894,0,28752636,S,-087.7705341,B5,60638,G6350,+41.7814424,0004000000000000062b,60638
0.22679333852622696,0,12631958,S,-087.7560557,B5,60639,G6350,+41.9205531,0004000000000000062c,60639
0.25175515059575787,0,10468217,S,-087.7467867,B5,60641,G6350,+41.9466055,0004000000000000062d,60641
0.3041542605537117,0,5847014,S,-087.6947354,B5,60645,G6350,+42.0085584,0004000000000000062e,60645
0.4758622268986978,0,11840818,S,-087.7596273,B5,60646,G6350,+41.9930192,0004000000000000062f,60646
0.24726874192131446,0,9055133,S,-087.7408505,B5,60651,G6350,+41.9020954,00040000000000000630,60651
0.26313599755958345,0,12993375,S,-087.7148066,B5,60652,G6350,+41.7479398,00040000000000000631,60652
0.1032450591619271,0,1574555,S,-087.6372711,B5,60654,G6350,+41.8922891,00040000000000000632,60654
